Kanji,Hiragana,English,Origin,Difficulty,Category
名,な,"Title, prefix",Duolingo 1,1,Noun - Origin 
名前,なまえ,Name,Duolingo 1,1,Noun - Origin 
出身,しゅっしん,From (country),Duolingo 1,1,Noun - Origin 
言い,いい,Call (named),Duolingo 1,1,Noun - Origin 
気,き,Spirit,Duolingo 1,1,Noun - Concept
先生,せんせい,Teacher,Duolingo 1,1,Noun - Living
学生,がくせい,Student,Duolingo 1,1,Noun - Living
本田,ほんだ,Honda (name),Duolingo 1,1,Noun - Name
田中,たなか,Tanaka (name),Duolingo 1,1,Noun - Name
中村,なかむら,Nakamura (name),Duolingo 1,1,Noun - Name
茂,しげる,Shigeru (name),Duolingo 1,1,Noun - Name
桜,さくら,Sakura (name),Duolingo 1,1,Noun - Name
中国,ちゅうごく,China,Duolingo 1,1,Noun - Place
日本,にほん,Japan,Duolingo 1,1,Noun - Place
語,ご,Language,Duolingo 1,1,Noun - Concept
英語,えいご,English,Duolingo 1,1,Noun - Concept
鳥,とり,Bird,Duolingo 1,1,Noun - Living
何,なに,What,Duolingo 1,1,Noun - Concept
卵,たまご,Egg,Duolingo 2.1,1,Noun - Food
分,ぷん,Minute,Duolingo 2.1,1,Noun - Time
今,いま,Now,Duolingo 2.1,1,Noun - Time
半,はん,Half,Duolingo 2.1,1,Noun - Concept
午前,ごぜん,A.M.,Duolingo 2.1,1,Noun - Time
午後,ごご,P.M.,Duolingo 2.1,1,Noun - Time
零時,れいじ,Midnight,Duolingo 2.1,1,Noun - Time
月,げつ,Month (moon),Duolingo 2.1,1,Noun - Object
曜日,ようび,Day,Duolingo 2.1,1,Noun - Date
明日,あした,Tomorrow,Duolingo 2.1,1,Noun - Date
明後日,あさって,The day after tomorrow,Duolingo 2.1,1,Noun - Date
一昨日,おととい,The day before yesterday,Duolingo 2.1,1,Noun - Date
平日,へいじつ,Weekday,Duolingo 2.1,1,Noun - Date
昼,ひる,"Afternoon, midday",Duolingo 2.1,1,Noun - Concept
晩,ばん,Night,Duolingo 2.1,1,Noun - Concept
良く,よく,Often,Duolingo 2.1,2,Adverb
